|	no. of generations	|	minimum fitness 	|	50th percentile fitness	|	maximum fitness 	|
-----------------------------------------------------------------------------------------------------------------------
|		940		|	1.46E-06		|	5.20E-06		|	1.02E-05		|
|		945		|	1.61E-06		|	5.77E-06		|	1.02E-05		|
|		950		|	1.41E-06		|	7.56E-06		|	1.02E-05		|
|		955		|	1.48E-06		|	6.74E-06		|	1.02E-05		|
|		960		|	1.36E-06		|	4.94E-06		|	1.02E-05		|
|		965		|	3.49E-06		|	5.55E-06		|	1.02E-05		|
|		970		|	1.40E-06		|	5.21E-06		|	1.02E-05		|
|		975		|	1.51E-06		|	5.40E-06		|	1.02E-05		|
|		980		|	1.44E-06		|	7.37E-06		|	1.02E-05		|
|		985		|	1.45E-06		|	4.90E-06		|	1.02E-05		|
|		990		|	4.33E-06		|	4.87E-06		|	1.02E-05		|
|		995		|	3.53E-06		|	9.22E-06		|	1.02E-05		|
|		1000		|	1.34E-06		|	3.92E-06		|	1.02E-05		|
|		1005		|	4.36E-06		|	5.52E-06		|	1.02E-05		|
|		1010		|	3.36E-06		|	5.21E-06		|	1.02E-05		|
|		1015		|	1.62E-06		|	7.36E-06		|	1.02E-05		|
|		1020		|	1.39E-06		|	6.37E-06		|	1.02E-05		|
|		1025		|	1.42E-06		|	5.16E-06		|	1.02E-05		|
|		1030		|	4.54E-06		|	6.49E-06		|	1.02E-05		|
|		1035		|	3.22E-06		|	5.79E-06		|	1.02E-05		|
|		1040		|	1.51E-06		|	6.28E-06		|	1.02E-05		|
|		1045		|	1.38E-06		|	6.00E-06		|	1.02E-05		|
|		1050		|	1.39E-06		|	5.04E-06		|	1.02E-05		|
|		1055		|	1.40E-06		|	5.52E-06		|	1.02E-05		|
|		1060		|	1.44E-06		|	4.79E-06		|	1.02E-05		|
|		1065		|	4.61E-06		|	5.32E-06		|	1.02E-05		|
|		1070		|	1.44E-06		|	4.66E-06		|	1.02E-05		|
|		1075		|	4.72E-06		|	6.15E-06		|	1.02E-05		|
|		1080		|	1.43E-06		|	4.70E-06		|	1.02E-05		|
|		1085		|	4.61E-06		|	5.35E-06		|	1.02E-05		|
|		1090		|	1.50E-06		|	4.85E-06		|	1.02E-05		|
|		1095		|	1.54E-06		|	5.08E-06		|	1.02E-05		|
|		1100		|	1.40E-06		|	6.19E-06		|	1.02E-05		|
|		1105		|	1.71E-06		|	6.01E-06		|	1.02E-05		|
|		1110		|	1.37E-06		|	8.60E-06		|	1.02E-05		|
|		1115		|	1.47E-06		|	4.41E-06		|	1.02E-05		|
|		1120		|	4.40E-06		|	5.07E-06		|	1.02E-05		|
